model,threshold,ROC-AUC,PR-AUC,F1,F2,Precision,Recall,Accuracy,Specificity,TP,FN,FP,TN,Pred_Pos,Pred_Pos_Rate,split,threshold_source,selection_rule
Logistic Regression,0.61,0.7345922349687244,0.17469122370470877,0.26128266033254155,0.3728813559322034,0.17432646592709986,0.5213270142180095,0.7993548387096774,0.8196607822776047,110,101,521,2368,631,0.2035483870967742,train,validation,validation_F2
Logistic Regression,0.61,0.6832902737545343,0.2322178948419835,0.28846153846153844,0.4087193460490463,0.1935483870967742,0.5660377358490566,0.8092783505154639,0.8271092669432918,30,23,125,598,155,0.19974226804123713,validation,validation,validation_F2
Logistic Regression,0.61,0.7129676186645213,0.21276930868268376,0.2692307692307692,0.38209606986899564,0.18041237113402062,0.5303030303030303,0.8041237113402062,0.8241150442477876,35,31,159,745,194,0.2,test,validation,validation_F2
Logistic Regression + UnderSampling,0.68,0.7303384795079882,0.1604713338357621,0.25925925925925924,0.35277177825773937,0.1798165137614679,0.46445497630331756,0.8193548387096774,0.8452751817237798,98,113,447,2442,545,0.17580645161290323,train,validation,validation_F2
Logistic Regression + UnderSampling,0.68,0.7094130848926121,0.2436628767909356,0.29347826086956524,0.3935860058309038,0.20610687022900764,0.5094339622641509,0.8324742268041238,0.8561549100968188,27,26,104,619,131,0.16881443298969073,validation,validation,validation_F2
Logistic Regression + UnderSampling,0.68,0.6984194824349692,0.16602589340706642,0.25316455696202533,0.3448275862068966,0.17543859649122806,0.45454545454545453,0.8175257731958763,0.8440265486725663,30,36,141,763,171,0.17628865979381445,test,validation,validation_F2
Random Forest + UnderSampling,0.48,0.8118594964721554,0.24574958581337097,0.26481909160892997,0.4451345755693582,0.15808823529411764,0.8151658767772512,0.6919354838709677,0.6829352717203184,172,39,916,1973,1088,0.35096774193548386,train,validation,validation_F2
Random Forest + UnderSampling,0.48,0.6791147994467495,0.1765403362216191,0.22818791946308725,0.37199124726477023,0.13877551020408163,0.6415094339622641,0.7036082474226805,0.7081604426002767,34,19,211,512,245,0.31572164948453607,validation,validation,validation_F2
Random Forest + UnderSampling,0.48,0.7100261464199518,0.16089126943897009,0.21727019498607242,0.3500897666068223,0.13310580204778158,0.5909090909090909,0.7103092783505155,0.7190265486725663,39,27,254,650,293,0.3020618556701031,test,validation,validation_F2
Focal MLP,0.33,0.8182138820398998,0.36621426184600653,0.2652899126290707,0.4413319238900634,0.15935114503816794,0.7914691943127962,0.7016129032258065,0.6950501903772932,167,44,881,2008,1048,0.33806451612903227,train,validation,validation_F2
Focal MLP,0.33,0.6624650956444582,0.17032363310821977,0.21794871794871795,0.3609341825902335,0.13127413127413126,0.6415094339622641,0.6855670103092784,0.6887966804979253,34,19,225,498,259,0.3337628865979381,validation,validation,validation_F2
Focal MLP,0.33,0.6657699785465272,0.17345089259213076,0.21529745042492918,0.3448275862068966,0.13240418118466898,0.5757575757575758,0.7144329896907217,0.7245575221238938,38,28,249,655,287,0.2958762886597938,test,validation,validation_F2
Hist Gradient Boosting,0.33,0.8714038705401597,0.4576816255154582,0.2857142857142857,0.4736562001064396,0.17198067632850242,0.8436018957345972,0.7129032258064516,0.7033575631706472,178,33,857,2032,1035,0.3338709677419355,train,validation,validation_F2
Hist Gradient Boosting,0.33,0.622067381716642,0.18840371724695448,0.21678321678321677,0.34831460674157305,0.13304721030042918,0.5849056603773585,0.711340206185567,0.7206085753803596,31,22,202,521,233,0.3002577319587629,validation,validation,validation_F2
Hist Gradient Boosting,0.33,0.6193098015553768,0.14059809341362803,0.17366946778711484,0.27927927927927926,0.10652920962199312,0.4696969696969697,0.6958762886597938,0.7123893805309734,31,35,260,644,291,0.3,test,validation,validation_F2
Random Forest,0.34,0.8757650772090245,0.3255710168512857,0.3511604439959637,0.5357142857142857,0.2230769230769231,0.8246445497630331,0.7925806451612903,0.7902388369678089,174,37,606,2283,780,0.25161290322580643,train,validation,validation_F2
Random Forest,0.34,0.5834833894412694,0.12919481983980494,0.19642857142857142,0.28720626631853785,0.1286549707602339,0.41509433962264153,0.7680412371134021,0.7939142461964038,22,31,149,574,171,0.22036082474226804,validation,validation,validation_F2
Random Forest,0.34,0.5904146554035935,0.11917016114121905,0.17266187050359713,0.25210084033613445,0.11320754716981132,0.36363636363636365,0.7628865979381443,0.7920353982300885,24,42,188,716,212,0.21855670103092784,test,validation,validation_F2
